accession	tax_id	scientific_name	first_public	base_count
AF006564	7234	Drosophila persimilis	1997-09-11	3482
AY279327	51159	Drosophila lutescens	2004-03-31	2773
AF399012	42027	Drosophila kuntzei	2001-08-16	4800
JF735883	7282	Drosophila obscura	2011-10-24	639
X62187	7237	Drosophila pseudoobscura	1992-10-16	3444
X62212	7237	Drosophila pseudoobscura	1992-10-16	3459
X62234	7237	Drosophila pseudoobscura	1992-10-16	3499
X64473	7237	Drosophila pseudoobscura	1992-10-16	3487
X64488	7237	Drosophila pseudoobscura	1992-10-16	3469
JF735884	7283	Drosophila phalerata	2011-10-24	370
M19264	7226	Drosophila mauritiana	1988-10-04	4581
X64475	7237	Drosophila pseudoobscura	1992-10-16	3470
X64489	7237	Drosophila pseudoobscura	1992-10-16	3472
AH000981	7227	Drosophila melanogaster	2011-06-30	271
U68469	7266	Drosophila guanche	1999-01-06	2146
X62227	7237	Drosophila pseudoobscura	1992-10-16	3444
X62237	7237	Drosophila pseudoobscura	1992-10-16	3470
X64479	7237	Drosophila pseudoobscura	1992-10-16	3459
U68471	30013	Drosophila madeirensis	1999-01-06	1042
X62205	7237	Drosophila pseudoobscura	1992-10-16	3479
X62207	7237	Drosophila pseudoobscura	1992-10-16	3467
X64474	7237	Drosophila pseudoobscura	1992-10-16	3475
X64482	7237	Drosophila pseudoobscura	1992-10-16	3498
M63392	7235	Drosophila picticornis	1991-04-04	1598
X62197	7237	Drosophila pseudoobscura	1992-10-16	3490
X64484	7237	Drosophila pseudoobscura	1992-10-16	3472
X62230	7237	Drosophila pseudoobscura	1992-10-16	3474
X64483	7237	Drosophila pseudoobscura	1992-10-16	3463
X64481	7237	Drosophila pseudoobscura	1992-10-16	3494
X62202	7237	Drosophila pseudoobscura	1992-10-16	3476
X62208	7237	Drosophila pseudoobscura	1992-10-16	3468
X62216	7237	Drosophila pseudoobscura	1992-10-16	3481
X62231	7237	Drosophila pseudoobscura	1992-10-16	3465
AY238780	7229	Drosophila miranda	2003-04-08	2042
AY238781	7229	Drosophila miranda	2003-04-08	2042
AF264081	46794	Drosophila tropicalis	2000-05-30	405
AF264082	7260	Drosophila willistoni	2000-05-30	405
AY006426	46814	Drosophila primaeva	2001-09-04	508
AY081438	103845	Drosophila nannoptera	2002-08-09	288
AY750133	311479	Drosophila gani	2005-12-31	911
M73256	7227	Drosophila melanogaster	1991-07-12	1375
MG684382	30044	Drosophila rubida	2018-02-04	693
AB026529	46793	Drosophila paulistorum	1999-10-29	776
AY006424	46819	Drosophila obscuripes	2001-09-04	510
AY750121	65966	Drosophila tsigana	2005-12-31	911
AY750125	107829	Drosophila moriwakii	2005-12-31	911
AY750128	65966	Drosophila tsigana	2005-12-31	911
HQ631469	125945	Drosophila biarmipes	2011-08-30	290
HQ631474	65963	Drosophila fuyamai	2011-08-30	290
HQ631477	212812	Drosophila liui	2011-08-30	290
HQ631482	65964	Drosophila pseudoananassae	2011-08-30	290
HQ631483	94111	Drosophila prostipennis	2011-08-30	290
HQ631485	137070	Drosophila tani	2011-08-30	290
HQ631486	94110	Drosophila trapezifrons	2011-08-30	290
HQ631487	94114	Drosophila trilutea	2011-08-30	290
JF710263	50033	Drosophila kanekoi	2011-07-03	890
AB026526	30024	Drosophila emarginata	1999-10-29	840
AF059890	7256	Drosophila pinicola	1998-04-28	290
AF264073	46840	Drosophila capricorni	2000-05-30	405
AF264074	46790	Drosophila equinoxialis	2000-05-30	405
AY750122	119604	Drosophila lacertosa	2005-12-31	911
AY750129	311475	Drosophila yunnanensis	2005-12-31	911
AY750143	311480	Drosophila medioconstricta	2005-12-31	911
AY754404	7246	Drosophila affinis	2005-04-04	2529
DQ471664	7253	Drosophila mercatorum	2006-07-20	711
EU532133	126477	Drosophila fumipennis	2010-01-21	590
HQ631479	307244	Drosophila ogumai	2011-08-30	290
L08648	7260	Drosophila willistoni	1993-01-15	1308
M36581	7240	Drosophila simulans	1990-08-30	2719
U26843	40371	Drosophila lummei	1995-06-22	950
X68159	7237	Drosophila pseudoobscura	1992-10-08	3476
AY006412	46808	Drosophila oahuensis	2001-09-04	510
X68161	7237	Drosophila pseudoobscura	1992-10-08	3463
AY750140	311483	Drosophila unimaculata	2005-12-31	911
DQ471657	30016	Drosophila aracataca	2006-07-20	711
U94206	58310	Drosophila soonae	1998-02-23	204
U94196	46895	Drosophila cyrtoloma	1998-02-23	222
GQ376038	7240	Drosophila simulans	2009-08-02	410
AY238770	7229	Drosophila miranda	2003-04-08	2042
M60992	46244	Drosophila pseudoobscura bogotana	1992-04-30	3485
X03630	7230	Drosophila mojavensis	1986-11-18	285
AB261132	98362	Drosophila ruberrima	2007-11-03	858
AB932674	30046	Drosophila sternopleuralis	2014-10-26	755
AF260693	7257	Drosophila robusta	2000-09-20	458
HQ232350	1052065	Drosophila hypercephala	2011-08-08	437
KM016470	7240	Drosophila simulans	2014-09-24	476
KM016474	7240	Drosophila simulans	2014-09-24	481
U95272	46793	Drosophila paulistorum	1999-01-06	1166
X57368	7245	Drosophila yakuba	1991-07-17	975
AB033639	55950	Drosophila sordidula	1999-11-16	711
AB033640	7244	Drosophila virilis	1999-11-16	711
AB261133	157293	Drosophila hypocausta	2007-11-03	850
AB261138	154130	Drosophila neonasuta	2007-11-03	856
AB932653	198716	Drosophila deflecta	2014-10-26	848
AB932661	434062	Drosophila macrospina	2014-10-26	847
AB932671	55946	Drosophila recens	2014-10-26	839
AB932676	614641	Drosophila tenebrosa	2014-10-26	849
AF260690	7224	Drosophila hydei	2000-09-20	450
KM016467	7240	Drosophila simulans	2014-09-24	481
X57365	7245	Drosophila yakuba	1991-07-17	975
X57367	7245	Drosophila yakuba	1991-07-17	975
AB932652	126591	Drosophila curvispina	2015-01-14	845
X57371	7245	Drosophila yakuba	1991-07-17	975
U26845	40370	Drosophila montana	1995-06-22	957
U95254	7260	Drosophila willistoni	1999-01-06	1172
U76484	7224	Drosophila hydei	1997-03-06	251
X57364	7240	Drosophila simulans	1991-07-17	975
X57366	7245	Drosophila yakuba	1991-07-17	975
X57363	7240	Drosophila simulans	1991-07-17	972
X60791	7227	Drosophila melanogaster	1991-10-07	1925
AF201442	7240	Drosophila simulans	2000-07-03	478
AY095939	193351	Drosophila transversa	2003-05-01	435
DQ471623	309936	Drosophila daruma	2006-07-20	711
DQ471645	381453	Drosophila beppui	2006-07-20	711
EU532124	46793	Drosophila paulistorum	2010-01-21	588
JX455219	7240	Drosophila simulans	2012-09-03	481
KX976501	7245	Drosophila yakuba	2016-11-12	771
M60987	7237	Drosophila pseudoobscura	1992-01-26	3466
DQ471652	119604	Drosophila lacertosa	2006-07-20	711
U95263	7260	Drosophila willistoni	1999-01-06	1172
AB154557	30033	Drosophila kikkawai	2004-04-01	686
AB154562	30033	Drosophila kikkawai	2004-04-01	683
AF201445	7240	Drosophila simulans	2000-07-03	465
DQ471621	309936	Drosophila daruma	2006-07-20	711
DQ471638	381448	Drosophila angor	2006-07-20	711
EU532121	46793	Drosophila paulistorum	2010-01-21	558
JF710264	40368	Drosophila borealis	2011-07-03	895
KX976491	7245	Drosophila yakuba	2016-11-12	771
KX976493	7245	Drosophila yakuba	2016-11-12	771
KX976495	7245	Drosophila yakuba	2016-11-12	771
Z00030	7227	Drosophila melanogaster	1986-07-02	7423
AB154548	30033	Drosophila kikkawai	2004-04-01	686
AB154549	30033	Drosophila kikkawai	2004-04-01	686
AB154558	30033	Drosophila kikkawai	2004-04-01	683
AF201435	7240	Drosophila simulans	2000-07-03	480
AF201447	7240	Drosophila simulans	2000-07-03	480
AF284476	7226	Drosophila mauritiana	2000-11-02	701
DQ471618	309936	Drosophila daruma	2006-07-20	711
DQ471620	381452	Drosophila barutani	2006-07-20	711
DQ471639	381452	Drosophila barutani	2006-07-20	711
DQ471649	381466	Drosophila karakasa	2006-07-20	711
EU532126	46793	Drosophila paulistorum	2010-01-21	507
KX384730	42026	Drosophila bipectinata	2017-01-03	873
KX976520	7245	Drosophila yakuba	2016-11-12	771
M60983	7237	Drosophila pseudoobscura	1992-01-26	3487
M60997	7234	Drosophila persimilis	1992-01-24	3506
U95252	7260	Drosophila willistoni	1999-01-06	1172
U95269	46790	Drosophila equinoxialis	1999-01-06	1167
AY095946	126591	Drosophila curvispina	2003-05-01	443
AY095951	7283	Drosophila phalerata	2003-05-01	430
DQ471619	381449	Drosophila asper	2006-07-20	711
DQ471640	311480	Drosophila medioconstricta	2006-07-20	711
JX455210	7240	Drosophila simulans	2012-09-03	480
U95268	46790	Drosophila equinoxialis	1999-01-06	1174
AY335196	46840	Drosophila capricorni	2003-12-31	776
DQ471612	381448	Drosophila angor	2006-07-20	711
AY095940	42027	Drosophila kuntzei	2003-05-01	431
AY335199	30047	Drosophila sturtevanti	2003-12-31	792
DQ471610	119604	Drosophila lacertosa	2006-07-20	711
DQ471616	381448	Drosophila angor	2006-07-20	711
EU532122	46793	Drosophila paulistorum	2010-01-21	573
EU532123	46793	Drosophila paulistorum	2010-01-21	588
JX455211	7240	Drosophila simulans	2012-09-03	480
KX976505	7245	Drosophila yakuba	2016-11-12	771
U95274	46794	Drosophila tropicalis	1999-01-06	1162
AB669852	111875	Drosophila jambulina	2014-01-02	830
AF136658	95109	Drosophila americana americana	1999-06-03	884
AF136665	95109	Drosophila americana americana	1999-06-03	884
AF136674	95109	Drosophila americana americana	1999-06-03	884
AF136706	40372	Drosophila americana texana	1999-06-03	884
AF175217	7227	Drosophila melanogaster	1999-10-06	951
U64547	7237	Drosophila pseudoobscura	1996-08-16	3471
U64551	7237	Drosophila pseudoobscura	1996-08-16	3473
Y00602	7237	Drosophila pseudoobscura	1987-09-19	3535
AF136672	95109	Drosophila americana americana	1999-06-03	884
AF136705	40372	Drosophila americana texana	1999-06-03	884
AF175211	7227	Drosophila melanogaster	1999-10-06	951
AF175212	7227	Drosophila melanogaster	1999-10-06	951
AF459756	195712	Drosophila phaeopleura	2002-05-16	290
KY002643	7227	Drosophila melanogaster	2017-10-13	708
KY002644	7217	Drosophila ananassae	2017-10-13	740
AB669840	67534	Drosophila triauraria	2014-01-02	842
AB669853	60717	Drosophila punjabiensis	2014-01-02	836
AB669868	74550	Drosophila lini	2014-01-02	843
AB669881	137353	Drosophila baimaii	2014-01-02	838
AB669889	137077	Drosophila parvula	2014-01-02	864
AB669891	359927	Drosophila pectinifera	2014-01-02	841
AF136670	95109	Drosophila americana americana	1999-06-03	884
AF136683	95109	Drosophila americana americana	1999-06-03	884
AF136687	95109	Drosophila americana americana	1999-06-03	884
AF136696	95109	Drosophila americana americana	1999-06-03	884
AF136708	40372	Drosophila americana texana	1999-06-03	884
AF175216	7227	Drosophila melanogaster	1999-10-06	951
AF201427	7238	Drosophila sechellia	2000-07-03	482
AF459747	186284	Drosophila paralutea	2002-05-16	290
AF459784	42063	Drosophila ercepeae	2002-05-16	290
AF459785	30023	Drosophila elegans	2002-05-16	290
AF459786	30025	Drosophila ficusphila	2002-05-16	290
KJ767240	7227	Drosophila melanogaster	2014-09-04	872
U64528	7237	Drosophila pseudoobscura	1996-08-16	3488
AB669883	112146	Drosophila bicornuta	2014-01-02	838
AF175220	7227	Drosophila melanogaster	1999-10-06	951
AF459746	7259	Drosophila tolteca	2002-05-16	290
AF459765	73917	Drosophila seguyi	2002-05-16	290
KY002645	7217	Drosophila ananassae	2017-10-13	1301
U64524	7237	Drosophila pseudoobscura	1996-08-16	3498
U64549	7237	Drosophila pseudoobscura	1996-08-16	3470
AF136686	95109	Drosophila americana americana	1999-06-03	884
U64556	7237	Drosophila pseudoobscura	1996-08-16	3471
U64543	7237	Drosophila pseudoobscura	1996-08-16	3458
U64545	7237	Drosophila pseudoobscura	1996-08-16	3474
U64532	7237	Drosophila pseudoobscura	1996-08-16	3392
U64560	7237	Drosophila pseudoobscura	1996-08-16	3467
U64548	7237	Drosophila pseudoobscura	1996-08-16	3498
AB669890	359927	Drosophila pectinifera	2014-01-02	841
AB703322	7229	Drosophila miranda	2012-03-18	405
AF136675	95109	Drosophila americana americana	1999-06-03	884
AY364509	7230	Drosophila mojavensis	2004-01-30	880
AY340305	40366	Drosophila americana	2003-08-13	881
EF216312	57873	Drosophila hubeiensis	2007-06-10	431
AB669865	109356	Drosophila leontia	2014-01-02	832
AY340301	40366	Drosophila americana	2003-08-13	881
AY541095	198719	Drosophila innubila	2004-12-13	555
KJ767242	7245	Drosophila yakuba	2014-09-04	865
AB669835	67533	Drosophila rufa	2014-01-02	838
AB669839	137070	Drosophila tani	2014-01-02	838
AB703318	7248	Drosophila athabasca	2012-03-18	405
AB830534	67531	Drosophila lacteicornis	2014-01-12	838
AF459758	195057	Drosophila malerkotliana malerkotliana	2002-05-16	290
AY340287	40366	Drosophila americana	2003-08-13	881
AY364520	7230	Drosophila mojavensis	2004-01-30	879
AY874362	7241	Drosophila subobscura	2005-05-31	1406
AB825961	1084936	Drosophila fengkainensis	2015-12-16	840
U20765	7227	Drosophila melanogaster	1995-03-12	2365
AY340306	40366	Drosophila americana	2003-08-13	881
U76478	7231	Drosophila mulleri	1997-03-06	902
AY044127	88886	Drosophila sulfurigaster	2002-08-06	716
AY154832	7230	Drosophila mojavensis	2003-03-03	880
AY154852	7263	Drosophila arizonae	2003-03-03	880
AY154856	7263	Drosophila arizonae	2003-03-03	880
AY154863	7263	Drosophila arizonae	2003-03-03	880
M17833	7227	Drosophila melanogaster	1991-07-01	2727
M60995	46244	Drosophila pseudoobscura bogotana	1992-01-26	3475
AB669847	34677	Drosophila tsacasi	2014-01-02	838
AY044131	157293	Drosophila hypocausta	2002-08-06	723
M17835	7227	Drosophila melanogaster	1991-07-01	2769
AB669875	46829	Drosophila birchii	2014-01-02	833
AB932651	134000	Drosophila cardinoides	2014-10-26	834
AF067280	7246	Drosophila affinis	1998-07-02	430
M60993	46244	Drosophila pseudoobscura bogotana	1992-01-26	3485
AB669873	73157	Drosophila nikananu	2014-01-02	839
AB932663	133975	Drosophila nigrodunni	2014-10-26	840
AY154842	7263	Drosophila arizonae	2003-03-03	878
AY044123	157058	Drosophila oritisa	2002-08-06	725
AB669877	244254	Drosophila bunnanda	2014-01-02	826
AB932654	133979	Drosophila dunni	2014-10-26	839
AY044121	157055	Drosophila curviceps	2002-08-06	725
AY364495	7230	Drosophila mojavensis	2004-01-30	880
AF067284	77130	Drosophila tsukubaensis	1998-07-02	830
AY154835	7230	Drosophila mojavensis	2003-03-03	880
AY154867	7230	Drosophila mojavensis	2003-03-03	879
M17845	7227	Drosophila melanogaster	1988-04-02	795
AB194426	7217	Drosophila ananassae	2005-05-07	1757
AF045116	30047	Drosophila sturtevanti	1998-06-02	405
AF045119	30042	Drosophila prosaltans	1998-06-02	405
AY154872	7230	Drosophila mojavensis	2003-03-03	880
AY154836	7230	Drosophila mojavensis	2003-03-03	880
U40986	7218	Drosophila bifasciata	1996-09-27	429
AY154827	7230	Drosophila mojavensis	2003-03-03	880
AB194423	296644	Drosophila malerkotliana pallens	2005-05-07	1775
AB194425	65965	Drosophila pseudoananassae pseudoananassae	2005-05-07	1762
AF348879	67534	Drosophila triauraria	2001-04-16	668
AF151684	7244	Drosophila virilis	2000-05-03	6045
AI062419	7227	Drosophila melanogaster	1998-07-27	621
BG632144	7227	Drosophila melanogaster	2001-04-28	690
CV787951	7245	Drosophila yakuba	2004-11-12	711
BI571735	7227	Drosophila melanogaster	2001-09-07	548
BI570978	7227	Drosophila melanogaster	2001-09-07	694
BI571817	7227	Drosophila melanogaster	2001-09-07	535
AF171740	7227	Drosophila melanogaster	1999-08-25	562
AI404819	7227	Drosophila melanogaster	1999-02-10	667
AY695383	133984	Drosophila antillea	2006-08-01	1144
BF503615	7227	Drosophila melanogaster	2000-12-07	730
BI241261	7227	Drosophila melanogaster	2001-07-15	679
BI606073	7227	Drosophila melanogaster	2001-09-10	593
BI618605	7227	Drosophila melanogaster	2001-09-11	647
CK133169	7227	Drosophila melanogaster	2003-12-03	633
BI622627	7227	Drosophila melanogaster	2001-09-11	582
BI613172	7227	Drosophila melanogaster	2001-09-11	636
M57300	7228	Drosophila mettleri	1991-06-27	4616
AF006566	7234	Drosophila persimilis	1997-09-11	3486
AY279328	30038	Drosophila mimetica	2004-03-31	2698
X04672	7238	Drosophila sechellia	1987-06-07	4582
M60793	7272	Drosophila nigra	1992-06-06	894
M63287	32382	Drosophila heteroneura	1991-04-04	1634
M63390	7236	Drosophila planitibia	1991-04-04	1616
U68472	30013	Drosophila madeirensis	1999-01-06	1403
X62222	7237	Drosophila pseudoobscura	1992-10-16	3479
X62236	7237	Drosophila pseudoobscura	1992-10-16	3479
X64471	7237	Drosophila pseudoobscura	1992-10-16	3493
X64478	7237	Drosophila pseudoobscura	1992-10-16	3506
JF735885	614641	Drosophila tenebrosa	2011-10-24	531
M63303	7219	Drosophila differens	1991-04-04	1630
U68470	7266	Drosophila guanche	1999-01-06	1323
X62184	7237	Drosophila pseudoobscura	1992-10-16	3481
X62186	7237	Drosophila pseudoobscura	1992-10-16	3501
X62192	7237	Drosophila pseudoobscura	1992-10-16	3481
X62233	7237	Drosophila pseudoobscura	1992-10-16	3499
M19263	7240	Drosophila simulans	1988-10-04	4607
X62209	7237	Drosophila pseudoobscura	1992-10-16	3457
X62189	7237	Drosophila pseudoobscura	1992-10-16	3457
X62198	7237	Drosophila pseudoobscura	1992-10-16	3485
X62200	7237	Drosophila pseudoobscura	1992-10-16	3480
X62225	7237	Drosophila pseudoobscura	1992-10-16	3478
X62182	7237	Drosophila pseudoobscura	1992-10-16	3502
X62194	7237	Drosophila pseudoobscura	1992-10-16	3465
X62203	7237	Drosophila pseudoobscura	1992-10-16	3499
X62215	7237	Drosophila pseudoobscura	1992-10-16	3499
X62191	7237	Drosophila pseudoobscura	1992-10-16	3472
X64469	7237	Drosophila pseudoobscura	1992-10-16	3471
U07641	7227	Drosophila melanogaster	1994-07-04	1140
AY238779	7229	Drosophila miranda	2003-04-08	2042
AY238775	7229	Drosophila miranda	2003-04-08	2042
AF264078	46793	Drosophila paulistorum	2000-05-30	405
AF264079	46795	Drosophila pavlovskiana	2000-05-30	405
DQ471662	47316	Drosophila littoralis	2006-07-20	711
MG684381	88882	Drosophila kepulauana	2018-02-04	730
U26838	40367	Drosophila flavomontana	1995-06-30	957
U94199	46802	Drosophila lineosetae	1998-02-23	222
U94207	46827	Drosophila tanythrix	1998-02-23	204
X78402	7227	Drosophila melanogaster	1994-05-31	44
AF264080	46791	Drosophila sucinea	2000-05-30	405
AY006419	7236	Drosophila planitibia	2001-09-04	510
AY006421	46818	Drosophila substenoptera	2001-09-04	510
AY006425	48319	Drosophila ingens	2001-09-04	510
DQ471665	40370	Drosophila montana	2006-07-20	711
EU532120	46792	Drosophila insularis	2010-01-21	566
HQ631468	7237	Drosophila pseudoobscura	2011-08-30	290
HQ631476	109356	Drosophila leontia	2011-08-30	290
MG684383	157059	Drosophila siamana	2018-02-04	719
U48715	46435	Drosophila hawaiiensis	1996-04-10	3335
AF059891	7257	Drosophila robusta	1998-04-28	290
AY006408	48321	Drosophila hanaulae	2001-09-04	510
AY750117	311474	Drosophila longiserrata	2005-12-31	911
AY750124	189258	Drosophila micromelanica	2005-12-31	911
AY750135	311480	Drosophila medioconstricta	2005-12-31	911
DQ471629	30041	Drosophila polychaeta	2006-07-20	711
DQ471632	309936	Drosophila daruma	2006-07-20	711
DQ471633	381460	Drosophila fluvialis	2006-07-20	711
DQ471666	103845	Drosophila nannoptera	2006-07-20	711
X98338	7227	Drosophila melanogaster	1996-12-22	2071
DQ471627	381448	Drosophila angor	2006-07-20	711
DQ471634	309938	Drosophila latifshahi	2006-07-20	711
AF264076	46792	Drosophila insularis	2000-05-30	405
AY006414	47010	Drosophila silvestris	2001-09-04	510
AY006416	7219	Drosophila differens	2001-09-04	510
DQ471656	302448	Drosophila anceps	2006-07-20	711
AF264075	126477	Drosophila fumipennis	2000-05-30	405
AY006422	46804	Drosophila melanocephala	2001-09-04	510
U90955	7282	Drosophila obscura	1997-11-14	453
EU532118	46790	Drosophila equinoxialis	2010-01-21	573
EU532119	7260	Drosophila willistoni	2010-01-21	533
GQ376036	7274	Drosophila serrata	2009-08-02	410
U90953	57873	Drosophila hubeiensis	1997-11-14	432
GQ376031	88886	Drosophila sulfurigaster	2009-08-02	410
GQ376032	46829	Drosophila birchii	2009-08-02	410
U94208	58308	Drosophila dasycnemia	1998-02-23	204
U48714	7222	Drosophila grimshawi	1996-04-08	3644
AY238771	7229	Drosophila miranda	2003-04-08	2042
AY238773	7229	Drosophila miranda	2003-04-08	2042
AF260696	137002	Drosophila biseriata	2000-09-20	487
KM016476	7240	Drosophila simulans	2014-09-24	478
U95267	7260	Drosophila willistoni	1999-01-06	1172
KM016473	7240	Drosophila simulans	2014-09-24	480
AB261129	157053	Drosophila annulipes	2007-11-03	835
AB261130	387621	Drosophila quadrilineata	2007-11-03	859
AB261141	30019	Drosophila busckii	2007-11-03	820
AF260694	7221	Drosophila funebris	2000-09-20	453
AF260698	30043	Drosophila repleta	2000-09-20	451
AY279322	7245	Drosophila yakuba	2004-03-31	1741
KM016468	7240	Drosophila simulans	2014-09-24	476
AY279324	7220	Drosophila erecta	2004-03-31	976
DQ471636	381473	Drosophila sp. T	2006-07-20	711
U76485	7231	Drosophila mulleri	1997-03-06	261
U76486	7230	Drosophila mojavensis	1997-03-06	245
U95265	7260	Drosophila willistoni	1999-01-06	1172
DQ471643	7244	Drosophila virilis	2006-07-20	711
U95257	7260	Drosophila willistoni	1999-01-06	1172
AB154554	30033	Drosophila kikkawai	2004-04-01	686
AF201434	7240	Drosophila simulans	2000-07-03	480
AF201448	7240	Drosophila simulans	2000-07-03	479
AF284474	7226	Drosophila mauritiana	2000-11-02	702
AF284478	7226	Drosophila mauritiana	2000-11-02	701
DQ471617	381448	Drosophila angor	2006-07-20	711
DQ471642	381452	Drosophila barutani	2006-07-20	711
HQ110511	7271	Drosophila nebulosa	2011-05-06	795
HQ110513	30039	Drosophila neocordata	2011-05-06	832
KX976506	7245	Drosophila yakuba	2016-11-12	771
KX976515	7245	Drosophila yakuba	2016-11-12	771
KX976519	7245	Drosophila yakuba	2016-11-12	771
M62742	7268	Drosophila mayaguana	1991-07-11	905
U95275	7271	Drosophila nebulosa	1999-01-06	1251
AB154552	30033	Drosophila kikkawai	2004-04-01	683
AF201425	7226	Drosophila mauritiana	2000-07-03	475
AF201428	7240	Drosophila simulans	2000-07-03	479
AF201432	7240	Drosophila simulans	2000-07-03	480
AF201437	7240	Drosophila simulans	2000-07-03	479
AF201440	7240	Drosophila simulans	2000-07-03	479
AF201441	7240	Drosophila simulans	2000-07-03	480
AY095941	42027	Drosophila kuntzei	2003-05-01	431
AY095947	193352	Drosophila unispina	2003-05-01	442
DQ471614	381448	Drosophila angor	2006-07-20	711
DQ471625	381468	Drosophila perlucida	2006-07-20	711
M62743	7264	Drosophila buzzatii	1991-07-11	908
U95251	7260	Drosophila willistoni	1999-01-06	1174
U95256	7260	Drosophila willistoni	1999-01-06	1172
KX384732	42062	Drosophila nasuta	2017-01-03	1122
AB154561	30033	Drosophila kikkawai	2004-04-01	683
AF201436	7240	Drosophila simulans	2000-07-03	480
AF201438	7240	Drosophila simulans	2000-07-03	480
AF201443	7240	Drosophila simulans	2000-07-03	479
AF284477	7226	Drosophila mauritiana	2000-11-02	702
AY804555	7245	Drosophila yakuba	2005-10-06	759
DQ471646	2609301	Drosophila bipatita (nomen nudum)	2006-07-20	711
JX455215	7240	Drosophila simulans	2012-09-03	480
AY095935	42028	Drosophila limbata	2003-05-01	447
DQ471641	311476	Drosophila neokadai	2006-07-20	711
AY095950	7283	Drosophila phalerata	2003-05-01	430
AY335201	30047	Drosophila sturtevanti	2003-12-31	792
DQ471647	311478	Drosophila bai	2006-07-20	711
KX976490	7245	Drosophila yakuba	2016-11-12	771
DQ471622	381462	Drosophila hei	2006-07-20	711
AB669828	73155	Drosophila biauraria	2014-01-02	842
AB669872	307242	Drosophila ohnishii	2014-01-02	843
AB825962	94110	Drosophila trapezifrons	2015-12-16	836
AF459767	73157	Drosophila nikananu	2002-05-16	290
AF459783	67533	Drosophila rufa	2002-05-16	290
AY459545	7240	Drosophila simulans	2003-11-30	618
EU999242	40366	Drosophila americana	2008-09-09	840
KJ767237	7227	Drosophila melanogaster	2014-09-04	872
U64522	7237	Drosophila pseudoobscura	1996-08-16	3481
U64544	7237	Drosophila pseudoobscura	1996-08-16	3476
U64559	7237	Drosophila pseudoobscura	1996-08-16	3499
AB669827	73155	Drosophila biauraria	2014-01-02	842
AB669849	137355	Drosophila burlai	2014-01-02	833
AF136692	95109	Drosophila americana americana	1999-06-03	884
AF136702	40372	Drosophila americana texana	1999-06-03	884
AF136704	40372	Drosophila americana texana	1999-06-03	884
AF201423	7227	Drosophila melanogaster	2000-07-03	479
AF459760	29029	Drosophila eugracilis	2002-05-16	290
AF459764	60717	Drosophila punjabiensis	2002-05-16	290
EF560576	306028	Drosophila gasici	2008-05-01	622
L78923	7270	Drosophila mimica	1996-06-25	822
U76470	7224	Drosophila hydei	1996-11-19	897
AB669830	67531	Drosophila lacteicornis	2014-01-02	838
AB669841	67534	Drosophila triauraria	2014-01-02	842
AF136656	95109	Drosophila americana americana	1999-06-03	884
AF136663	95109	Drosophila americana americana	1999-06-03	884
AF136673	95109	Drosophila americana americana	1999-06-03	884
AF136681	95109	Drosophila americana americana	1999-06-03	884
AF136698	95109	Drosophila americana americana	1999-06-03	884
AF136700	40372	Drosophila americana texana	1999-06-03	884
AF175218	7227	Drosophila melanogaster	1999-10-06	951
AF459749	29030	Drosophila takahashii	2002-05-16	290
AF459750	51159	Drosophila lutescens	2002-05-16	290
AY695389	133979	Drosophila dunni	2006-08-01	507
U64536	7237	Drosophila pseudoobscura	1996-08-16	3498
U76476	7224	Drosophila hydei	1996-11-19	897
X54118	7243	Drosophila teissieri	1992-04-14	4321
AF459751	73156	Drosophila lucipennis	2002-05-16	290
AF459781	137076	Drosophila orosa	2002-05-16	290
AB669894	137078	Drosophila truncata	2014-01-02	830
AB669833	67532	Drosophila quadraria	2014-01-02	843
EF560577	306029	Drosophila mesophragmatica	2008-05-01	605
U64555	7237	Drosophila pseudoobscura	1996-08-16	3467
U64526	7237	Drosophila pseudoobscura	1996-08-16	3475
U76474	7224	Drosophila hydei	1996-11-19	897
X54116	7220	Drosophila erecta	1992-04-14	3867
